付款日期	項目	金額	
105/12/14	鑽戒訂金	     10,000 	
106/1/	算日子	      3,600 	
106/1/15	晶宴場地訂金	     48,000 	
106/1/17	婚攝罐頭訂金	      4,000 	
106/1/18	新祕Mia訂金	      4,000 	
106/2/1	鑽戒尾款	     31,400 	
106/2/20	婚紗包套訂金	      9,000 	
106/5/13	西服換款加價費	      3,800 	
106/5/21	婚紗挑禮服訂金	      9,000 	
106/5/24	增高墊	        149 	
106/5/26	皮鞋	        990 	
106/5/26	無框眼鏡	        100 	
106/5/27	高跟鞋	        390 	
106/6/20	拍照用-卡斯比亞	        330 	
106/6/21	光療指甲	        619 	
106/6/23	婚紗拍照訂金	     18,000 	
106/7/12	婚紗挑片訂金	      7,000 	
106/7/27	喜餅訂金	      9,000 	
106/9/08	對戒訂金	      6,000 	
106/9/08	印製喜帖	      5,680 	
106/9/17	加購喜帖貼紙	         24 	
106/10/2	男生襯衫	      1,500 	
106/10/20	對戒尾款	     23,600 	
106/10/22	婚紗成品尾款	      6,800 	
106/10/22	禮金簿、囍字	        230 	
106/10/22	聘金盒、木盛租金	        600 	
106/10/24	自租車2day	      3,360 	
106/10/26	禮車*2	      6,000 	
106/11/12	開場影片+交往影片	      2,960 	
106/11/13	結婚大餅	      4,680 	
106/11/13	名條(總招待*1、招待*3、收禮*4)	        422 	
106/11/14	禮炮盒*2、鞭炮、開路炮	      1,375 	
106/11/17	色紙、囍字貼紙	        112 	
106/11/20	喜餅82盒尾款	     22,361 	
106/11/22	名條(主婚人*4、發餅*1、手花*3、囍字杯*12)	        155 	
106/11/24	新郎領帶、領結	        397 	
106/11/24	新娘染髮、新郎剪髮	      2,300 	
106/11/21	做指甲	      1,350 	
106/11/29	8K美術紙	         48 	
106/11/29	做臉*2、身體*1	      4,500 	
106/12/03	新祕尾款	     18,500 	
106/12/03	婚攝尾款	     20,000 	
